user_id,recommended_items
0,101 157 208 33 192
1,61 33 95 131 168
2,120 179 480 26 200
3,140 134 290 589 144
4,581 331 498 434 101
5,587 538 144 133 377
6,120 179 32 25 331
7,112 71 423 106 271
8,168 88 132 157 344
9,215 114 101 168 17
10,89 126 571 597 353
11,179 262 221 186 395
12,0 179 157 317 315
13,179 28 17 290 157
14,78 101 483 110 215
15,95 290 348 63 114
16,179 106 101 249 13
17,120 78 249 607 61
18,61 219 59 192 33
19,120 215 459 33 581
20,211 448 459 392 104
21,120 95 2 459 168
22,215 144 172 549 330
23,211 738 283 127 804
24,215 95 131 344 144
25,120 168 106 131 283
26,215 61 120 192 563
27,510 328 262 83 78
28,215 120 179 308 131
29,101 17 144 131 661
30,120 192 25 63 209
31,25 246 131 480 365
32,215 179 26 120 157
33,131 101 344 0 61
34,26 33 61 114 317
35,114 26 120 214 95
36,61 282 95 2 168
37,25 542 61 607 122
38,33 215 0 43 131
39,215 555 208 661 754
40,168 71 63 106 549
41,265 467 125 62 392
42,215 120 168 20 589
43,120 95 157 192 17
44,868 302 774 40 589
45,120 186 179 63 348
46,120 144 459 192 63
47,40 141 25 283 95
48,179 215 395 275 309
49,61 144 179 106 168
50,61 168 526 106 26
51,480 120 555 215 26
52,168 33 215 88 661
53,168 192 106 555 492
54,406 51 608 510 346
55,661 179 95 120 526
56,120 101 215 157 219
57,665 118 589 290 20
58,20 789 265 863 503
59,120 223 589 25 71
60,120 168 395 219 320
61,120 131 215 145 26
62,144 101 95 168 157
63,192 101 157 131 106
64,88 404 526 555 114
65,101 61 661 215 209
66,192 144 114 78 61
67,555 290 144 12 563
68,157 120 33 88 145
69,120 26 395 131 61
70,26 581 18 43 215
71,215 131 26 120 61
72,168 480 459 33 13
73,120 555 317 157 168
74,95 6 395 192 120
75,16 92 12 113 33
76,236 463 443 106 271
77,95 168 26 179 120
78,106 144 395 290 13
79,146 114 555 145 17
80,61 120 215 236 491
81,95 451 161 49 395
82,587 549 62 467 192
83,215 133 95 192 251
84,106 120 26 101 526
85,215 157 114 101 33
86,62 25 789 103 133
87,88 256 198 525 135
88,215 179 144 120 106
89,157 131 106 320 395
90,189 282 62 246 792
91,215 157 120 33 26
92,114 63 179 131 298
93,101 26 480 208 344
94,101 131 17 106 661
95,179 328 61 95 249
96,215 106 120 144 192
97,510 409 87 283 262
98,61 40 114 480 78
99,215 60 661 157 219
100,410 681 336 120 192
101,61 179 120 26 208
102,120 101 168 106 26
103,101 120 17 219 26
104,179 95 131 157 186
105,95 192 71 120 63
106,120 168 131 223 215
107,215 179 192 120 309
108,95 179 168 114 120
109,168 120 106 26 271
110,120 179 17 61 106
111,215 120 192 661 101
112,17 114 157 101 131
113,120 179 95 157 498
114,367 260 46 377 40
115,219 120 145 51 192
116,84 608 530 571 330
117,71 276 60 192 61
118,61 134 17 317 131
119,106 144 114 192 395
120,215 545 88 395 145
121,157 395 661 17 208
122,208 37 762 846 459
123,215 395 61 26 211
124,120 215 59 26 192
125,179 192 168 545 459
126,26 526 80 528 120
127,61 207 192 179 222
128,0 208 492 61 219
129,71 729 26 377 348
130,348 59 0 26 95
131,168 106 101 661 157
132,26 120 144 208 661
133,168 179 395 320 61
134,40 144 192 803 3
135,120 26 179 114 106
136,95 189 487 125 367
137,682 192 531 107 155
138,95 247 179 106 61
139,104 778 465 463 249
140,26 192 208 63 0
141,120 131 157 192 140
142,179 215 555 95 17
143,219 120 37 465 249
144,157 215 192 95 317
145,106 144 157 101 168
146,114 215 214 555 17
147,131 61 186 106 386
148,157 114 17 60 145
149,95 665 179 789 265
150,120 168 682 106 144
151,289 766 331 348 257
152,168 101 157 409 78
153,95 454 61 25 551
154,106 179 120 581 168
155,61 120 60 78 168
156,101 32 120 82 26
157,120 101 465 386 260
158,265 682 331 95 282
159,71 682 541 120 103
160,61 340 246 665 1
161,179 106 26 112 271
162,557 441 95 215 298
163,192 409 369 33 157
164,219 0 215 101 120
165,95 404 179 71 144
166,511 211 120 738 565
167,179 95 395 120 63
168,120 26 395 344 215
169,88 344 17 106 421
170,61 26 290 192 33
171,607 169 406 735 331
172,101 120 95 168 179
173,95 339 103 506 104
174,454 40 161 367 462
175,157 144 348 60 59
176,157 114 120 192 26
177,215 589 133 467 207
178,215 144 26 661 9
179,103 215 120 422 92
180,290 766 271 589 715
181,607 735 93 1147 192
182,179 120 82 95 256
183,526 99 330 60 555
184,215 168 61 179 555
185,87 122 665 738 589
186,245 714 73 608 106
187,26 61 59 215 192
188,145 101 344 140 222
189,215 144 192 316 179
190,62 221 389 1 1095
191,179 101 131 106 95
192,157 120 114 144 101
193,192 51 57 61 17
194,179 95 106 120 168
195,95 40 179 487 114
196,144 62 71 107 541
197,215 101 0 33 95
198,26 192 661 168 61
199,303 589 83 56 538
200,26 59 131 192 80
201,17 131 95 179 555
202,114 61 192 480 26
203,0 208 120 26 348
204,563 209 78 282 683
205,290 353 40 126 302
206,95 120 215 589 106
207,95 252 144 207 131
208,106 144 179 738 487
209,61 106 192 661 78
210,510 2 257 57 453
211,120 43 114 179 131
212,120 61 26 192 131
213,249 607 735 221 104
214,106 344 88 176 211
215,571 87 331 714 40
216,134 465 73 125 681
217,215 26 61 106 555
218,104 3 589 40 87
219,179 26 526 101 106
220,215 33 114 95 317
221,589 20 549 249 151
222,395 131 168 106 169
223,362 510 586 520 118
