user_id,recommended_items
285,19749 20933 47102 24272 10559
902,215 23158 639 1928 15097
948,215 1928 639 3653 501
1183,639 11658 1000 687 5786
1286,156048 52012 52019 52018 52017
1509,2805 5707 21314 1793 24060
1776,133732 133734 80008 11741 11745
1982,14139 113100 84524 94052 56406
2742,14139 113100 84524 94052 56406
3161,2122 7024 2154 45088 22101
3256,697 375 485 382 5601
3375,3338 65 5601 382 215
3547,14139 113100 84524 94052 56406
3630,1096 4560 2109 355 26471
3806,12112 16329 136723 9505 64929
4607,14139 113100 84524 94052 56406
5112,14139 113100 84524 94052 56406
5627,96918 56114 56111 156048 52011
5686,92139 497 31039 15814 47688
5738,5601 650 65 215 847
5839,350 382 650 236 1098
6442,9094 19980 10438 28191 4442
7182,12197 37985 25640 24014 97739
7693,14139 113100 84524 94052 56406
8316,80748 16723 77606 97011 97010
9660,11642 10233 34925 10541 21672
9680,33683 3774 33689 93594 134644
10044,15321 23019 23062 23011 23031
10316,1573 650 19397 355 65
10469,9217 60401 751 9545 11895
10470,14417 78982 78990 14427 78988
10870,14139 113100 84524 94052 56406
10956,12975 49714 71963 4455 13285
11027,5153 63748 38734 64409 45087
11380,2612 2805 1790 25195 39511
11423,14139 113100 84524 94052 56406
11805,666 11221 51609 43559 17469
12046,105437 105440 105442 105443 62315
12097,2154 347 353 2855 2984
12233,14139 113100 84524 94052 56406
12593,16315 62922 91026 2182 66478
12626,45057 45039 11650 27578 24553
12630,87940 1083 52548 51695 57485
12671,8985 54482 3572 67701 90855
12689,105472 100759 105482 105480 105479
12750,357 2856 639 356 350
12852,13663 15423 17664 206 205
13715,14139 113100 84524 94052 56406
14269,1094 3819 2924 491 271
14624,350 382 1098 236 5563
14792,357 52 5790 236 3338
14966,131738 2557 91288 131747 156048
15006,4773 1365 8784 1700 7206
15100,100152 111739 13024 151956 151957
15549,1094 2924 5258 3819 271
15611,243 5755 250 30870 84611
16228,14139 113100 84524 94052 56406
16874,2979 4511 491 6903 514
16971,24397 30015 70920 12943 3394
18097,9610 20394 2277 86562 86561
18564,1916 2515 7902 2514 45522
18796,6614 11395 42402 73929 5580
18994,16112 11962 55599 48045 107811
19544,116839 99888 99054 115782 7022
19679,51428 1348 17898 53122 19126
19704,8774 33488 33497 36156 82393
20101,5841 14040 11723 4783 61048
20679,347 2984 1426 22093 17976
20815,3777 82964 4050 6612 7313
20979,22195 652 22199 23755 2351
21195,2174 13049 64056 69766 7254
21324,4446 37151 15528 32780 43593
21578,14139 113100 84524 94052 56406
21627,1760 31542 43559 70840 69486
21663,21193 17972 16245 96440 21206
21813,13856 21149 17972 639 514
21835,5563 1098 350 382 9638
22107,6253 37434 5707 8646 4806
22206,16730 100330 6765 53720 71225
22591,48045 3447 15046 4044 7508
22728,14139 113100 84524 94052 56406
23229,156048 52012 52019 52018 52017
23361,4375 25251 71630 10818 6272
23459,28993 22894 3103 29004 27810
23667,49031 4926 10803 18633 4980
23718,382 350 5563 472 721
24419,14139 113100 84524 94052 56406
24465,271 639 1533 5983 5601
25906,88379 10083 10085 3433 103436
