user_id,recommended_items
285,166345 561002 2123252 377107 1780713
902,343377 2796479 2091019 1106543 1878292
948,2796479 2091019 1106543 1793991 471520
1183,1053452 1244196 77400 1862241 1186918
1286,2554023 2354025 2503756 249866 2235860
1509,1376058 1196981 1865831 1907046 624081
1776,561523 1103447 1757758 1277140 623022
1982,2554023 2354025 2503756 249866 2235860
2742,2554023 2354025 2503756 249866 2235860
3161,923541 1269685 2310855 1216431 2736621
3256,536047 2796479 1140869 1953846 1092821
3375,2778525 2487208 266412 1953846 1233470
3547,2554023 2354025 2503756 249866 2235860
3630,343377 447985 374376 2142251 1317156
3806,747193 1016960 540689 749280 281325
4607,2554023 2354025 2503756 249866 2235860
5112,2554023 2354025 2503756 249866 2235860
5627,314274 2354025 2503756 249866 2235860
5686,2138292 987162 2471602 926828 210713
5738,2778525 2487208 79531 784737 2031981
5839,266412 2698468 1443706 784737 294812
6442,860702 1322673 1963559 2652221 1935140
7182,407996 248636 1095585 717635 2687682
7693,2554023 2354025 2503756 249866 2235860
8316,620560 173544 1922601 1819837 1442118
9660,2227201 478799 1483526 106296 942253
9680,183832 2374998 2113033 357497 301180
10044,1208433 1778373 2232786 81416 315039
10316,2106311 784737 1162250 1092821 2198329
10469,2825431 2391945 2641962 987162 1739484
10470,224130 2210368 1675509 1111145 1720816
10870,2554023 2354025 2503756 249866 2235860
10956,2287483 1410598 872349 1771601 2185279
11027,642488 2530005 285989 1648187 1808698
11380,1984327 1920047 1788671 1117449 2160364
11423,2554023 2354025 2503756 249866 2235860
11805,419011 57147 1226034 188819 1168582
12046,1708663 1635452 914591 2571216 790953
12097,1386412 784737 734196 1269685 2466095
12233,2554023 2354025 2503756 249866 2235860
12593,678029 702963 2740724 1469359 70718
12626,2133903 2706909 2776704 1985071 1386298
12630,1717731 1650530 1605963 621322 68957
12671,1646403 789747 1768485 786008 2453965
12689,1279897 1105190 150334 212958 889233
12750,1053452 1244196 657183 72465 2466095
12852,608954 1597481 2581147 356765 406835
13715,2554023 2354025 2503756 249866 2235860
14269,536047 1053452 823512 1053542 1241609
14624,266412 1443706 784737 569889 2103306
14792,1165605 343377 1386412 1233470 460717
14966,2275702 310819 420362 1751641 2285399
15006,723777 319948 1297092 2813646 1038331
15100,1552866 373332 2468648 461731 458120
15549,536047 823512 1053542 1241609 299236
15611,768905 306921 2501356 1619659 1898936
16228,2554023 2354025 2503756 249866 2235860
16874,536047 1053452 1928254 784737 657183
16971,1548235 2589910 1535883 2206055 644915
18097,1754395 1353323 2086837 1643868 101277
18564,1053452 1576126 2490294 899111 2261058
18796,2730930 1551995 1449481 912679 2613992
18994,1940835 595572 1956590 2013039 2399270
19544,401407 832731 189286 1098414 2419733
19679,938834 2741406 1224446 2771199 2414458
19704,1496101 2123083 261380 737769 299785
20101,1550605 1164312 2782153 481833 1876152
20679,1201171 1244196 1352341 1984327 1899627
20815,568191 872103 1706622 1061851 426917
20979,801479 2588067 1130445 2049896 1402002
21195,2462072 1437485 1567110 738213 2475133
21324,1301316 536488 1617715 938287 2645314
21578,2554023 2354025 2503756 249866 2235860
21627,1904911 151477 595572 1922913 1994979
21663,213472 57460 1886939 2617752 2120274
21813,2588490 2506235 1886939 592140 2371498
21835,266412 1443706 784737 2037855 569889
22107,1244196 2795800 291669 966964 1486947
22206,1439033 787368 1752305 274885 1705918
22591,2295790 1910875 2777527 1834588 2779372
22728,2554023 2354025 2503756 249866 2235860
23229,2554023 2354025 2503756 249866 2235860
23361,2106311 1438462 1672383 1644811 2167686
23459,2045755 295155 2367494 197531 546256
23667,1616908 116839 2750164 710180 2347446
23718,266412 1443706 1776330 1953846 650831
24419,2554023 2354025 2503756 249866 2235860
24465,2002097 536047 2791339 657183 734196
25906,2148400 1848866 249550 1239491 935775
26038,1117449 1334568 291669 1172251 2534752
26658,278589 1053452 1092821 2831562 2343598
27187,2348573 2102697 1161415 141739 1758715
27501,1278953 91487 692997 2615189 2349687
27638,1211165 1746639 1342651 2155232 827481
27707,384116 1350668 194778 909057 1557883
27727,79531 2564347 1809836 2751394 1072942
27845,784737 823512 657183 1117449 1241609
27931,1771834 1325142 1200117 849590 347737
28232,2640518 291669 2166540 2760857 1340660
28739,76630 447710 2393220 2461531 114894
28801,613524 2092656 1441986 607660 1475866
28972,1994344 2726122 1736387 1452579 2362712
29072,1074013 712901 186124 2703440 340121
29146,1073384 2092656 1098302 607660 2089603
29212,1615202 2616153 1342764 767563 2424138
29340,2667578 2337857 131851 1682399 262871
29449,784737 1162250 1092821 2348573 141739
29519,2106311 343377 784737 1162250 2423978
30094,262977 2245828 1073348 235975 2173330
30368,2554023 2354025 2503756 249866 2235860
30774,2554023 2354025 2503756 249866 2235860
30910,1165605 2698468 350611 1023434 2160364
31318,266412 1386412 1244196 2402625 799209
32111,2554023 2354025 2503756 249866 2235860
32371,695225 1469233 384936 2621757 2101635
32434,1765833 2006653 1623144 350611 1859894
33119,2554023 2354025 2503756 249866 2235860
