user_id,recommended_items
285,166345 249122 561002 2443215 1780713
902,2091019 1106543 1793991 471520 1878292
948,2796479 2091019 1106543 1793991 471520
1183,77400 1862241 1242418 1186918 2525655
1286,2554023 2354025 2503756 249866 2235860
1509,1376058 1865831 1378235 1907046 2467273
1776,561523 1103447 1757758 1277140 1934513
1982,2554023 2354025 2503756 249866 2235860
2742,2554023 2354025 2503756 249866 2235860
3161,923541 2310855 2765843 2736621 511111
3256,2796479 1140869 1953846 1092821 2005388
3375,2778525 2487208 1742926 1233470 589524
3547,2554023 2354025 2503756 249866 2235860
3630,447985 374376 2142251 1317156 192887
3806,1016960 1768346 1050722 2540529 666450
4607,2554023 2354025 2503756 249866 2235860
5112,2554023 2354025 2503756 249866 2235860
5627,2554023 2354025 2503756 249866 2235860
5686,2138292 2298243 926828 976732 2222478
5738,2778525 2487208 79531 410414 589524
5839,266412 1443706 1928254 784737 72465
6442,240873 860702 2652221 1935140 701492
7182,1298192 717635 847047 2715079 1734442
7693,2554023 2354025 2503756 249866 2235860
8316,1901307 1865452 1664 1270119 574001
9660,2227201 478799 1483526 106296 2560801
9680,1876393 2647414 181209 947618 1536620
10044,2588156 2478985 1208433 2232786 81416
10316,2106311 784737 1162250 1092821 2198329
10469,1739484 396041 2721453 2582482 1470366
10470,224130 1268745 2589814 2160902 2624384
10870,2554023 2354025 2503756 249866 2235860
10956,2191983 2287483 1290786 872349 1771601
11027,1706421 1472482 1147424 1522676 2700112
11380,1788671 2734883 101986 2160364 152969
11423,2554023 2354025 2503756 249866 2235860
11805,419011 57147 1015328 1226034 352320
12046,2466755 1285744 1338537 1635452 790953
12097,1386412 784737 734196 1269685 486936
12233,2554023 2354025 2503756 249866 2235860
12593,622747 702963 2740724 1469359 165475
12626,2706909 1683638 2776704 1985071 1386298
12630,1650530 1605963 2161413 621322 68957
12671,789747 2829692 786008 2453965 2102275
12689,2222104 269945 722609 2462061 6271
12750,266412 1244196 657183 1162250 2423978
12852,2255401 58502 1530466 351723 890961
13715,2554023 2354025 2503756 249866 2235860
14269,2175889 830073 823512 1053542 1241609
